매핑된_작물,꿀벌 연관 여부,원재료
미분류,미분류,탄두리티카소스
미분류,미분류,티너카레분말
미분류,미분류,야채볶음밥조미액
미분류,미분류,디너카레분말
미분류,미분류,볶은소금
미분류,미분류,염화마그네슘(응고제)
미분류,미분류,청국장균
미분류,미분류,오행초추출액
미분류,미분류,유기농미강
미분류,미분류,동부씨앗
미분류,미분류,흰모싯대잎
미분류,미분류,땅통가루
미분류,미분류,쌀배아발효추출분말
미분류,미분류,눈개승마
미분류,미분류,냉동새우살
미분류,미분류,중백설탕
미분류,미분류,acetobacterpasteurianus
미분류,미분류,현미쌀튀밥
미분류,미분류,오부라이트분말
미분류,미분류,튀긴현미쌀
미분류,미분류,맵쌀분
미분류,미분류,미강가루
미분류,미분류,현미쌀칩
미분류,미분류,하이드록시프로필메틸셀룰로오스
미분류,미분류,그린콩씨
크랜베리,꿀벌 수분 연관,크랜베리추출물(기능성원료인정제2011-39호)
미분류,미분류,현미흑식초
미분류,미분류,현미누룩
미분류,미분류,스팀감자
미분류,미분류,레드페이스트
미분류,미분류,트레이할로스
미분류,미분류,현미진흙
미분류,미분류,일반백미
미분류,미분류,다크쵸코렛칩
미분류,미분류,튀긴현미
미분류,미분류,delta-도데카락톤
미분류,미분류,아세트인
미분류,미분류,에탈말톨
미분류,미분류,구운보리
미분류,미분류,누릉지향
미분류,미분류,5-hydroxymethylfurfuraldehyde
미분류,미분류,쌀눈추출액
미분류,미분류,vnillin
미분류,미분류,2-metylthio-3(5/6)-methylpyrazine
미분류,미분류,현미향키베이스
미분류,미분류,합성향료(2-(mercaptomethyl)pyrazine)
미분류,미분류,케베이스
미분류,미분류,r-decalactone
미분류,미분류,r-nonalactone
미분류,미분류,furfurylmethylsulfide
미분류,미분류,glycerine
미분류,미분류,솔비톨시럽
미분류,미분류,d-sorbitolsyrup
미분류,미분류,(퍼푸릴메틸설파이드
미분류,미분류,sulfurol(설푸롤)
미분류,미분류,아세토인(a009)
미분류,미분류,roastedriceflavorc200-00003
미분류,미분류,벤즈알데히드(b001)
미분류,미분류,burntedriceflavorc200-00004
미분류,미분류,퍼푸릴머캅탄
미분류,미분류,메틸씨클로펜테놀론
미분류,미분류,roastedricebasec200-00006-초산에틸(e050)
미분류,미분류,popcornbasec200-00001-키베이스1
미분류,미분류,roastedricebasec200-00004-키베이스1
미분류,미분류,스코티드라이스
미분류,미분류,로스티드후레바
미분류,미분류,5-메틸-2-푸르푸랄
미분류,미분류,디퍼푸릴
미분류,미분류,알릴프로피오네이트
미분류,미분류,데카논산에시드
미분류,미분류,2-메틸치오-3-메틸피라진
미분류,미분류,fema:2127
미분류,미분류,h184
미분류,미분류,scotchedricebaseoil
미분류,미분류,현미향hi-1525
미분류,미분류,scorchedricebasicoilsl-1071
미분류,미분류,zt-1010
미분류,미분류,marronbasicoilsl-1099
미분류,미분류,roastedricebasicoilsl-1088
미분류,미분류,papain6000l
미분류,미분류,formononetin0.08mg/g
미분류,미분류,검은쌀향
미분류,미분류,리진
미분류,미분류,썰푸롤
미분류,미분류,누룽지향키베이스
미분류,미분류,현미효소
미분류,미분류,볶음율무분
미분류,미분류,천연보리추출향
미분류,미분류,밤후레바
미분류,미분류,스커치드라이스향
미분류,미분류,호지티
미분류,미분류,자반용
미분류,미분류,어린녹차잎
미분류,미분류,어린쑥
미분류,미분류,무자숙액
미분류,미분류,복합야채베이스
미분류,미분류,양념육수
미분류,미분류,열무시래기
미분류,미분류,부추혼합발효액
미분류,미분류,옥수수추출농축액
미분류,미분류,검은깨추출액
무화과,꿀벌 수분 연관,무화과과실분말
미분류,미분류,형개엑기스
미분류,미분류,누룩분말
미분류,미분류,쪽파오일
미분류,미분류,쓰리인원내츄럴믹스홍고추
미분류,미분류,건조야채
미분류,미분류,쓰리인
미분류,미분류,양념불고기맛엑기스
미분류,미분류,야채맛인핸서
미분류,미분류,야채씨즈닝분말
미분류,미분류,포크토핑
미분류,미분류,비네가
미분류,미분류,페퍼로니분말
미분류,미분류,소프너알파가
미분류,미분류,수용성파프리카-엠
미분류,미분류,효소농축
미분류,미분류,오가피추출물분말
미분류,미분류,갈대뿌리추출분말
미분류,미분류,만삼분말
미분류,미분류,구증구포흑삼추출액
미분류,미분류,맥문동추출액
미분류,미분류,천문동추축액
미분류,미분류,지골피추출액
미분류,미분류,백봉령추출액
미분류,미분류,고추장메주가루
미분류,미분류,마늘뿌리
미분류,미분류,호박엑기스
미분류,미분류,정제소금염
미분류,미분류,아마란스잎
호두,꿀벌 수분 연관,백호두나무스쿼시
호두,꿀벌 수분 연관,호두반태
미분류,미분류,충진액
미분류,미분류,초당순두부
미분류,미분류,1급해수
호두,꿀벌 수분 연관,유기호두
미분류,미분류,진공동결건조밤
미분류,미분류,땅콩전지분
오렌지,꿀벌 수분 연관,ibis-오렌지
미분류,미분류,프리페드에디블펫
미분류,미분류,터셔리부틸히드로퀴논(산화방부제)
미분류,미분류,서울마가린
미분류,미분류,말거루
미분류,미분류,에스피100
미분류,미분류,배이킹파우다
미분류,미분류,r1800
미분류,미분류,비가염버터
미분류,미분류,통곡물믹스
미분류,미분류,고당이스트
미분류,미분류,ibis-o
미분류,미분류,카라라이
미분류,미분류,prf200
미분류,미분류,만주속
미분류,미분류,만주피
미분류,미분류,만주
미분류,미분류,흰크람
미분류,미분류,치자우린물
미분류,미분류,역기름
미분류,미분류,댓잎분말
호두,꿀벌 수분 연관,호두추출분말
미분류,미분류,그랜드-500
미분류,미분류,메이프시럽
미분류,미분류,에멀파스
미분류,미분류,비타비-엘
미분류,미분류,vacciniummodestum열매
미분류,미분류,알파감자가루
미분류,미분류,알파율무가루
커피,꿀벌 수분 연관,커피나무씨앗건조분쇄박
미분류,미분류,밀쌀분말
미분류,미분류,젖산초산칼슘
미분류,미분류,아마인(기능성원료인정제2007-4호)
미분류,미분류,미글루텐
미분류,미분류,볶음맥아분말
미분류,미분류,대두껍질
미분류,미분류,무지고형분
미분류,미분류,그랜드500
미분류,미분류,얼음수
미분류,미분류,에프리코드혼당
미분류,미분류,휘핑클럼
호두,꿀벌 수분 연관,호두우유
호두,꿀벌 수분 연관,호두땅콩분테
미분류,미분류,타르트피
미분류,미분류,박련분
호두,꿀벌 수분 연관,호두필링
호두,꿀벌 수분 연관,호두타르트
미분류,미분류,트린몰린
미분류,미분류,돈데나골드
미분류,미분류,diaryspread73
미분류,미분류,서랑
미분류,미분류,설탕(b)
미분류,미분류,버터(a)
미분류,미분류,팬케익시럽
미분류,미분류,버터(b)
미분류,미분류,설탕(a)
미분류,미분류,피반죽
미분류,미분류,파파야
미분류,미분류,쌍백당
호두,꿀벌 수분 연관,호두향베이스
미분류,미분류,트리에틸시트레이트[3083]
호두,꿀벌 수분 연관,호두향베이스hj-1646
미분류,미분류,레지노이드
미분류,미분류,디하이드로챨콘
바닐라,꿀벌 수분 연관,바닐라올레오
미분류,미분류,레진
미분류,미분류,3-하드록시-4-5-디메틸-2
미분류,미분류,ethylformate
미분류,미분류,gamma-butyrolactone
미분류,미분류,gamma-nonalactone
미분류,미분류,mapleresinoid23853vanilline
미분류,미분류,fenugreeksoildextract
미분류,미분류,cacaoextract
미분류,미분류,모카후레바
미분류,미분류,콘덴스드밀크후레바
미분류,미분류,메틸알콜
미분류,미분류,아세토인아세테이트
미분류,미분류,2-아세틸-3-메틸피라진
미분류,미분류,type#133201
미분류,미분류,훼뉴그릭올레오레진
미분류,미분류,정제퓨젤유
커피,꿀벌 수분 연관,천연커피향
미분류,미분류,디퍼퓨릴
미분류,미분류,퍼퓨릴머캅탄
미분류,미분류,에목시퓨론
미분류,미분류,메틸사이클로텐테놀론
미분류,미분류,4-터피네올
미분류,미분류,메틸말톨
미분류,미분류,모카향sw
미분류,미분류,콘테스트밀크향73950
미분류,미분류,아세틸메틸카비놀
미분류,미분류,디퍼퓨릴디설파이드
미분류,미분류,vanillin(femano.3107)
미분류,미분류,d-sorbitol
호두,꿀벌 수분 연관,호두향베이스#1
호두,꿀벌 수분 연관,호두향베이스-a
미분류,미분류,스위티베이스
미분류,미분류,fuseloil
미분류,미분류,benzaldehyde
미분류,미분류,benyl
미분류,미분류,alcohol
미분류,미분류,gammaoctalacetone
미분류,미분류,3-pentandione
미분류,미분류,믹스너트향
미분류,미분류,v005
미분류,미분류,트리아세틴가
미분류,미분류,월넛향
바닐라,꿀벌 수분 연관,천연바닐라추출물3xi
바닐라,꿀벌 수분 연관,천연바닐라추출물3xii
바닐라,꿀벌 수분 연관,천연바닐라추출물3x
미분류,미분류,아세토인가-424
미분류,미분류,a02932515-and6-데세노익에시드가-424
미분류,미분류,이소아밀페닐아세테이트
미분류,미분류,셀러리시드
미분류,미분류,메이플월럿향
미분류,미분류,5-and6-데세노익에시드
미분류,미분류,디에틸석시네이트
호두,꿀벌 수분 연관,호두향b919806
미분류,미분류,찹쌀떡
미분류,미분류,탄산수소나트륨재제염
미분류,미분류,분말이스트
미분류,미분류,베이킹파우더bpw
미분류,미분류,볶은콩향오일
미분류,미분류,소프트프리믹스-엔에프
미분류,미분류,그래함크랙커향
미분류,미분류,rs-190
미분류,미분류,타피오카hp변성전분
미분류,미분류,치자황
미분류,미분류,베이킹파우드
미분류,미분류,소맥분말
미분류,미분류,말오줌나무순
미분류,미분류,꾸지뽕열매농축액
미분류,미분류,뽕나무뿌리껍질추출물
미분류,미분류,호로파씨
미분류,미분류,호료풍미액
미분류,미분류,저령분말
미분류,미분류,연꽃추출분말
미분류,미분류,변성전분마늘
미분류,미분류,밀된장
미분류,미분류,밀청양고추분말
미분류,미분류,유화제글리신
미분류,미분류,샐러리씨드그라운드
미분류,미분류,규민분
미분류,미분류,마프라센타농축액
미분류,미분류,마리골드추출분말
미분류,미분류,하겔슈거
미분류,미분류,바이킹-100믹스
미분류,미분류,다크멀티크라프트
미분류,미분류,유산균발효액
미분류,미분류,소프트알파가
미분류,미분류,멀티크레인
미분류,미분류,드라이이스트
미분류,미분류,fungamy1superma
미분류,미분류,enzymeconcentratdrymatter
미분류,미분류,호밀베이스
미분류,미분류,투인원쇼트닝
미분류,미분류,유니판소프트
미분류,미분류,말트
미분류,미분류,흰콩가루
미분류,미분류,호박시럽
미분류,미분류,생마
미분류,미분류,늙은서양호박
미분류,미분류,트래할로즈
미분류,미분류,하이말토스
미분류,미분류,nutrifoodpumpkin
미분류,미분류,레드[락색소
미분류,미분류,호박향베이스#2
미분류,미분류,6-노나디에놀
미분류,미분류,명인이만든호박조청
미분류,미분류,호박다이스
미분류,미분류,단확
미분류,미분류,호박혼합
미분류,미분류,고명
미분류,미분류,황금큰물사초뿌리
미분류,미분류,카스텔라고물
미분류,미분류,호박꽃
미분류,미분류,유기농호박
미분류,미분류,엑시드c
미분류,미분류,prf100
미분류,미분류,호박원액
미분류,미분류,팥/계피팥
미분류,미분류,호박떡
미분류,미분류,식용발효주정
미분류,미분류,호박문말
미분류,미분류,복숭아향(fc-14202)s
미분류,미분류,합성착향료k8130226
미분류,미분류,알파호박
미분류,미분류,단호박레진
미분류,미분류,초코빵가루
미분류,미분류,클루텐
미분류,미분류,찐편가루
미분류,미분류,밤호박퓨레
미분류,미분류,호박향(착향료)
미분류,미분류,농축호박분말
미분류,미분류,서양호박과립
미분류,미분류,호박고물
미분류,미분류,호박레진
미분류,미분류,호박액
미분류,미분류,덩굴콩
미분류,미분류,적두가루
미분류,미분류,호박발효페이스트
미분류,미분류,보리쌀떡
미분류,미분류,생단호박
미분류,미분류,단호박채
미분류,미분류,딸기향베이스l
미분류,미분류,정제소
미분류,미분류,이.디.티.에이
미분류,미분류,칼슘이나트륨
미분류,미분류,견과류단백(고시형)
미분류,미분류,삼색찹쌀경단
미분류,미분류,호박설기
미분류,미분류,호박넝쿨손
미분류,미분류,건조호박손
미분류,미분류,호박줄기
미분류,미분류,진편가루
미분류,미분류,호박쌀조청
미분류,미분류,호박곶이
미분류,미분류,팥배기
미분류,미분류,유밀락
미분류,미분류,참깨쌀
미분류,미분류,밀가루중력
미분류,미분류,현미살
